event_id,station,network,location,channel_used,instrument_type_used,event_latitude,event_longitude,depth_km,station_latitude,station_longitude,epicentral_distance_km,hypocentral_distance_km,magnitude,mag_type,mw_estimate,time_utc,pga_g,pgv_cms,snr_db,vs30_ms,nehrp_site_class,has_strong_motion,sa_g_0_1s,sa_g_0_2s,sa_g_0_5s,sa_g_1_0s,sa_g_2_0s,arias_intensity_ms,cav_ms,duration_5_95_sec,fas_dominant_freq_hz,fas_mean_freq_hz,p_pick_time,s_pick_time,p_pick_confidence,s_pick_confidence,response_removed_ok,usable_for_engineering,usable_for_phase_picking,qc_flags,file
quakeml:eu.emsc/event/20090718_0000047,CUKT,KO,,BHE,broadband,35.77,43.56,1.0,37.2473,43.6077,164.32,164.32,4.8,ml,4.54,2009-07-18 00:00:00+00:00,0.0,0.0001,,900.0,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,175.6,8.807,5.681,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20090718_0000047_CUKT.mseed
quakeml:eu.emsc/event/20090718_0000047,SIRT,KO,,BHE,broadband,35.77,43.56,1.0,37.501,42.4392,216.9,216.9,4.8,ml,4.54,2009-07-18 00:00:00+00:00,0.0,0.0002,,629.0,C,False,1e-05,0.0,0.0,0.0,0.0,0.0,0.0012,184.66,12.685,12.472,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20090718_0000047_SIRT.mseed
quakeml:eu.emsc/event/20090718_0000047,MAZI,KO,,BHE,broadband,35.77,43.56,1.0,37.4593,40.4465,335.39,335.39,4.8,ml,4.54,2009-07-18 00:00:00+00:00,0.0,0.0,,542.0,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,185.42,5.847,9.004,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20090718_0000047_MAZI.mseed
quakeml:eu.emsc/event/20110302_0000058,KARS,KO,,BHE,broadband,42.6356,45.4847,2.0,40.6152,43.0937,299.92,299.93,4.5,mb,,2011-03-02 22:13:57.300000+00:00,0.0,0.0001,,554.0,C,False,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0005,179.96,11.056,10.584,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20110302_0000058_KARS.mseed
quakeml:eu.emsc/event/20110302_0000058,AGRB,KO,,BHE,broadband,42.6356,45.4847,2.0,39.5755,42.992,399.2,399.21,4.5,mb,,2011-03-02 22:13:57.300000+00:00,0.0,0.0001,,474.0,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,178.0,20.065,14.412,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20110302_0000058_AGRB.mseed
quakeml:eu.emsc/event/20110430_0000003,CUKT,KO,,BHE,broadband,36.3606,44.7448,2.0,37.2473,43.6077,141.32,141.33,4.6,md,,2011-04-30 00:38:18.700000+00:00,5e-05,0.0027,,900.0,B,True,9e-05,0.00017,9e-05,4e-05,0.0,0.0,0.0048,37.7,1.662,5.889,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20110430_0000003_CUKT.mseed
quakeml:eu.emsc/event/20110430_0000003,SIRT,KO,,BHE,broadband,36.3606,44.7448,2.0,37.501,42.4392,240.98,240.99,4.6,md,,2011-04-30 00:38:18.700000+00:00,3e-05,0.0026,,629.0,C,False,7e-05,0.0001,0.0001,4e-05,1e-05,0.0,0.0039,42.16,1.724,5.278,,,,,True,False,False,clipping_şüphesi,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20110430_0000003_SIRT.mseed
quakeml:eu.emsc/event/20110430_0000003,SVAN,KO,,BHE,broadband,36.3606,44.7448,2.0,38.1511,41.1984,371.65,371.66,4.6,md,,2011-04-30 00:38:18.700000+00:00,1e-05,0.0003,,571.0,C,False,4e-05,0.0,0.0,0.0,0.0,0.0,0.0037,184.82,9.075,11.005,,,,,True,False,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20110430_0000003_SVAN.mseed
quakeml:eu.emsc/event/20140524_0000027,GELI,KO,,HHE,broadband,40.4,26.28,2.0,40.398,26.4742,16.45,16.57,5.0,mb,,2014-05-24 09:31:18.800000+00:00,0.00231,0.1238,2.36,561.0,C,False,0.00488,0.00471,0.00077,0.00036,0.00012,3.4e-05,0.0963,163.28,0.176,13.406,2014-05-24T09:31:38.240000Z,2014-05-24T09:32:09.430000Z,0.097,0.008,True,False,True,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20140524_0000027_GELI.mseed
quakeml:eu.emsc/event/20140524_0000027,ERIK,KO,,HHE,broadband,40.4,26.28,2.0,40.6708,26.5132,35.99,36.05,5.0,mb,,2014-05-24 09:31:18.800000+00:00,0.00176,0.1206,2.13,262.0,D,False,0.00393,0.00497,0.00191,0.0003,0.00012,4.5e-05,0.1211,180.77,4.028,10.831,2014-05-24T09:31:20.240000Z,2014-05-24T09:31:55.350000Z,0.063,0.097,True,False,True,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20140524_0000027_ERIK.mseed
