event_id,station,phase_type,phase_hint,pick_time,source,fetched_at
quakeml:eu.emsc/event/20230206_0000015,GURO,P,Pn,2023-02-06T01:48:04.580000Z,isc_analyst,2026-09-12T21:54:27.315473+00:00
quakeml:eu.emsc/event/20230206_0000015,GURO,S,Sn,2023-02-06T01:48:22.500000Z,isc_analyst,2026-09-12T21:54:27.315493+00:00
quakeml:eu.emsc/event/20230206_0000472,GAZ,P,Pg,2023-02-06T20:44:18.590000Z,isc_analyst,2026-09-12T21:54:33.132857+00:00
quakeml:eu.emsc/event/20230206_0000472,GAZ,S,Sn,2023-02-06T20:44:33.840000Z,isc_analyst,2026-09-12T21:54:33.132873+00:00
smi:ISC/evid=642917516,BODT,P,P,2025-02-09T19:17:09.130000Z,isc_analyst,2026-09-12T21:56:20.140307+00:00
us6000ddkk,DKL,P,Pg,2021-02-01T05:48:07.160000Z,isc_analyst,2026-09-13T08:48:02.499834+00:00
us6000ddkp,DKL,P,Pg,2021-02-01T06:00:18.640000Z,isc_analyst,2026-09-13T08:48:07.468555+00:00
us6000ddkp,DKL,S,Sg,2021-02-01T06:00:28.080000Z,isc_analyst,2026-09-13T08:48:07.468576+00:00
us6000ddle,DKL,P,Pg,2021-02-01T08:35:30.390000Z,isc_analyst,2026-09-13T08:48:14.409723+00:00
us6000ddle,DKL,S,Sg,2021-02-01T08:35:39.650000Z,isc_analyst,2026-09-13T08:48:14.409747+00:00
us6000ddmm,DKL,S,Sg,2021-02-01T13:10:37.630000Z,isc_analyst,2026-09-13T08:48:19.261815+00:00
us6000ddmm,DKL,P,Pg,2021-02-01T13:10:29.100000Z,isc_analyst,2026-09-13T08:48:19.261837+00:00
us6000ddra,DKL,P,Pg,2021-02-01T20:46:29.020000Z,isc_analyst,2026-09-13T08:48:24.385067+00:00
us6000dds6,BNN,P,Pg,2021-02-02T00:02:49.740000Z,isc_analyst,2026-09-13T08:48:29.135706+00:00
us6000dds6,BNN,S,Sg,2021-02-02T00:02:55.400000Z,isc_analyst,2026-09-13T08:48:29.135723+00:00
us6000dfvn,DKL,P,Pg,2021-02-01T05:48:07.160000Z,isc_analyst,2026-09-13T08:48:39.754637+00:00
us6000dgvq,BZK,P,Pg,2021-02-12T03:38:08.420000Z,isc_analyst,2026-09-13T08:48:47.037091+00:00
us6000dgvq,BZK,S,Sg,2021-02-12T03:38:17.220000Z,isc_analyst,2026-09-13T08:48:47.037112+00:00
us6000e1pd,DKL,P,Pg,2021-04-15T04:10:33.380000Z,isc_analyst,2026-09-13T08:49:14.711723+00:00
us6000e1pd,DKL,S,Sg,2021-04-15T04:10:42.420000Z,isc_analyst,2026-09-13T08:49:14.711740+00:00
us6000ez0a,GAZ,P,Pg,2021-07-25T20:55:17.180000Z,isc_analyst,2026-09-13T08:49:52.823007+00:00
us6000ez0a,GAZ,S,Sg,2021-07-25T20:55:26.350000Z,isc_analyst,2026-09-13T08:49:52.823025+00:00
us6000g9c1,GURO,P,Pn,2021-12-05T21:47:08.900000Z,isc_analyst,2026-09-13T08:51:28.240428+00:00
us6000jllz,KMRS,P,Pg,2023-02-06T01:17:38.940000Z,isc_analyst,2026-09-13T08:53:23.002990+00:00
us6000jlm9,GAZ,P,Pg,2023-02-06T01:36:36.660000Z,isc_analyst,2026-09-13T08:53:35.097521+00:00
us6000jlm9,GAZ,S,Sg,2023-02-06T01:36:42.310000Z,isc_analyst,2026-09-13T08:53:35.097543+00:00
us6000jlmd,URFA,P,Pg,2023-02-06T01:48:26.780000Z,isc_analyst,2026-09-13T08:53:38.608647+00:00
us6000jlmd,URFA,S,Sg,2023-02-06T01:48:39.350000Z,isc_analyst,2026-09-13T08:53:38.608662+00:00
us6000jlmf,GAZ,S,Sg,2023-02-06T01:58:38.870000Z,isc_analyst,2026-09-13T08:53:42.922346+00:00
us6000jlmf,GAZ,P,Pg,2023-02-06T01:58:32.900000Z,isc_analyst,2026-09-13T08:53:42.922362+00:00
us6000jlmh,GAZ,P,Pn,2023-02-06T02:03:53.060000Z,isc_analyst,2026-09-13T08:53:48.634480+00:00
us6000jlmh,GAZ,S,Sg,2023-02-06T02:04:03.350000Z,isc_analyst,2026-09-13T08:53:48.634497+00:00
us6000jlmh,URFA,P,Pn,2023-02-06T02:03:54.330000Z,isc_analyst,2026-09-13T08:53:48.634503+00:00
us6000jlmh,URFA,S,Sn,2023-02-06T02:04:05.290000Z,isc_analyst,2026-09-13T08:53:48.634508+00:00
us6000jlmm,GAZ,P,Pg,2023-02-06T02:17:48.220000Z,isc_analyst,2026-09-13T08:53:52.043135+00:00
us6000jlmm,GAZ,S,Sg,2023-02-06T02:17:54.030000Z,isc_analyst,2026-09-13T08:53:52.043150+00:00
us6000jlmn,GAZ,P,Pg,2023-02-06T02:23:18.460000Z,isc_analyst,2026-09-13T08:53:57.368185+00:00
us6000jlmn,GAZ,S,Sg,2023-02-06T02:23:21.360000Z,isc_analyst,2026-09-13T08:53:57.368202+00:00
us6000jlmy,GAZ,P,Pg,2023-02-06T02:01:49.520000Z,isc_analyst,2026-09-13T08:54:06.327981+00:00
us6000jlmy,GAZ,S,Sg,2023-02-06T02:01:52.560000Z,isc_analyst,2026-09-13T08:54:06.327999+00:00
us6000jlmy,KMRS,P,Pg,2023-02-06T02:01:50.420000Z,isc_analyst,2026-09-13T08:54:06.328004+00:00
us6000jln0,URFA,P,Pn,2023-02-06T03:05:00.630000Z,isc_analyst,2026-09-13T08:54:10.169778+00:00
us6000jln0,URFA,S,Sg,2023-02-06T03:05:10.160000Z,isc_analyst,2026-09-13T08:54:10.169796+00:00
us6000jln3,GAZ,P,Pn,2023-02-06T03:10:35.290000Z,isc_analyst,2026-09-13T08:54:13.032482+00:00
us6000jln3,GAZ,S,Sn,2023-02-06T03:10:46.530000Z,isc_analyst,2026-09-13T08:54:13.032500+00:00
us6000jln9,URFA,P,Pn,2023-02-06T03:46:05.480000Z,isc_analyst,2026-09-13T08:54:17.462276+00:00
us6000jln9,URFA,S,Sn,2023-02-06T03:46:14.520000Z,isc_analyst,2026-09-13T08:54:17.462294+00:00
us6000jlnd,GAZ,P,Pg,2023-02-06T04:16:56.250000Z,isc_analyst,2026-09-13T08:54:22.920766+00:00
us6000jlnd,GAZ,S,Sg,2023-02-06T04:17:01.290000Z,isc_analyst,2026-09-13T08:54:22.920783+00:00
us6000jlnf,URFA,P,Pn,2023-02-06T04:19:02.650000Z,isc_analyst,2026-09-13T08:54:28.302430+00:00
us6000jlnf,URFA,S,Sg,2023-02-06T04:19:12.730000Z,isc_analyst,2026-09-13T08:54:28.302447+00:00
us6000jlns,GAZ,P,Pg,2023-02-06T04:48:11.590000Z,isc_analyst,2026-09-13T08:54:38.754565+00:00
us6000jlns,GAZ,S,Sg,2023-02-06T04:48:21.400000Z,isc_analyst,2026-09-13T08:54:38.754582+00:00
us6000jlnu,GAZ,P,Pg,2023-02-06T04:56:11.210000Z,isc_analyst,2026-09-13T08:54:41.386564+00:00
us6000jlnu,GAZ,S,Sg,2023-02-06T04:56:16.070000Z,isc_analyst,2026-09-13T08:54:41.386578+00:00
