network,station,location,channel,instrument_type,latitude,longitude,sample_rate_hz,start_date,end_date
KO,MAZI,,BHE,broadband,37.4593,40.4465,50.0,2009-06-29T00:00:00.000000Z,2022-11-28T10:00:00.000000Z
KO,MAZI,,BHN,broadband,37.4593,40.4465,50.0,2009-06-29T00:00:00.000000Z,2022-11-28T10:00:00.000000Z
KO,MAZI,,BHZ,broadband,37.4593,40.4465,50.0,2009-06-29T00:00:00.000000Z,2022-11-28T10:00:00.000000Z
KO,MAZI,,HHE,broadband,37.4593,40.4465,100.0,2022-11-28T10:00:00.000000Z,
KO,MAZI,,HHN,broadband,37.4593,40.4465,100.0,2022-11-28T10:00:00.000000Z,
KO,MAZI,,HHZ,broadband,37.4593,40.4465,100.0,2022-11-28T10:00:00.000000Z,
KO,TOKT,,HHE,broadband,40.3173,36.5443,100.0,2012-01-10T00:00:00.000000Z,
KO,TOKT,,HHN,broadband,40.3173,36.5443,100.0,2012-01-10T00:00:00.000000Z,
KO,TOKT,,HHZ,broadband,40.3173,36.5443,100.0,2012-01-10T00:00:00.000000Z,
KO,GULF,,HNE,strong_motion,40.914,35.879,100.0,2013-12-05T00:00:00.000000Z,2015-06-29T00:00:00.000000Z
KO,GULF,,HNN,strong_motion,40.914,35.879,100.0,2013-12-05T00:00:00.000000Z,2015-06-29T00:00:00.000000Z
KO,GULF,,HNZ,strong_motion,40.914,35.879,100.0,2013-12-05T00:00:00.000000Z,2015-06-29T00:00:00.000000Z
KO,GULF,,HNE,strong_motion,40.914,35.879,100.0,2024-06-27T08:00:00.000000Z,2025-04-09T13:35:00.000000Z
KO,GULF,,HNN,strong_motion,40.914,35.879,100.0,2024-06-27T08:00:00.000000Z,2025-04-09T13:35:00.000000Z
KO,GULF,,HNZ,strong_motion,40.914,35.879,100.0,2024-06-27T08:00:00.000000Z,2025-04-09T13:35:00.000000Z
KO,GULF,,HNE,strong_motion,40.914,35.879,100.0,2025-04-09T13:35:00.000000Z,
KO,GULF,,HNN,strong_motion,40.914,35.879,100.0,2025-04-09T13:35:00.000000Z,
KO,GULF,,HNZ,strong_motion,40.914,35.879,100.0,2025-04-09T13:35:00.000000Z,
KO,BASM,,EHE,broadband,37.9194,30.035,100.0,2013-11-21T00:00:00.000000Z,
KO,BASM,,EHN,broadband,37.9194,30.035,100.0,2013-11-21T00:00:00.000000Z,
KO,BASM,,EHZ,broadband,37.9194,30.035,100.0,2013-11-21T00:00:00.000000Z,
KO,BASM,,HNE,strong_motion,37.9194,30.035,100.0,2013-11-21T00:00:00.000000Z,
KO,BASM,,HNN,strong_motion,37.9194,30.035,100.0,2013-11-21T00:00:00.000000Z,
KO,BASM,,HNZ,strong_motion,37.9194,30.035,100.0,2013-11-21T00:00:00.000000Z,
KO,KVT,,BHE,broadband,41.0807,36.0463,50.0,2004-06-30T00:00:00.000000Z,2005-08-02T10:00:00.000000Z
KO,KVT,,BHN,broadband,41.0807,36.0463,50.0,2004-06-30T00:00:00.000000Z,2005-08-02T10:00:00.000000Z
KO,KVT,,BHZ,broadband,41.0807,36.0463,50.0,2004-06-30T00:00:00.000000Z,2005-08-02T10:00:00.000000Z
KO,KVT,,BHE,broadband,41.0807,36.0463,20.0,2005-08-02T10:00:00.000000Z,2006-06-28T13:00:00.000000Z
KO,KVT,,BHN,broadband,41.0807,36.0463,20.0,2005-08-02T10:00:00.000000Z,2006-06-28T13:00:00.000000Z
KO,KVT,,BHZ,broadband,41.0807,36.0463,20.0,2005-08-02T10:00:00.000000Z,2006-06-28T13:00:00.000000Z
KO,KVT,,BHE,broadband,41.0807,36.0463,50.0,2006-06-28T13:00:00.000000Z,2006-08-15T00:00:00.000000Z
KO,KVT,,BHN,broadband,41.0807,36.0463,50.0,2006-06-28T13:00:00.000000Z,2006-08-15T00:00:00.000000Z
KO,KVT,,BHZ,broadband,41.0807,36.0463,50.0,2006-06-28T13:00:00.000000Z,2006-08-15T00:00:00.000000Z
KO,KVT,,BHE,broadband,41.0807,36.0463,50.0,2006-08-15T00:00:00.000000Z,2021-06-18T20:33:00.000000Z
KO,KVT,,BHN,broadband,41.0807,36.0463,50.0,2006-08-15T00:00:00.000000Z,2021-06-18T20:33:00.000000Z
KO,KVT,,BHZ,broadband,41.0807,36.0463,50.0,2006-08-15T00:00:00.000000Z,2021-06-18T20:33:00.000000Z
KO,KVT,,HHE,broadband,41.0807,36.0463,100.0,2021-06-18T20:33:00.000000Z,2022-06-30T20:00:00.000000Z
KO,KVT,,HHN,broadband,41.0807,36.0463,100.0,2021-06-18T20:33:00.000000Z,2022-06-30T20:00:00.000000Z
KO,KVT,,HHZ,broadband,41.0807,36.0463,100.0,2021-06-18T20:33:00.000000Z,2022-06-30T20:00:00.000000Z
KO,KVT,,BHE,broadband,41.0807,36.0463,50.0,2022-06-30T20:00:00.000000Z,2022-11-29T10:00:00.000000Z
KO,KVT,,BHN,broadband,41.0807,36.0463,50.0,2022-06-30T20:00:00.000000Z,2022-11-29T10:00:00.000000Z
KO,KVT,,BHZ,broadband,41.0807,36.0463,50.0,2022-06-30T20:00:00.000000Z,2022-11-29T10:00:00.000000Z
KO,KVT,,HHE,broadband,41.0807,36.0463,100.0,2022-11-29T10:00:00.000000Z,
KO,KVT,,HHN,broadband,41.0807,36.0463,100.0,2022-11-29T10:00:00.000000Z,
KO,KVT,,HHZ,broadband,41.0807,36.0463,100.0,2022-11-29T10:00:00.000000Z,
KO,SINP,,HNE,strong_motion,41.9824,35.0956,100.0,2012-03-01T00:00:00.000000Z,
KO,SINP,,HNN,strong_motion,41.9824,35.0956,100.0,2012-03-01T00:00:00.000000Z,
KO,SINP,,HNZ,strong_motion,41.9824,35.0956,100.0,2012-03-01T00:00:00.000000Z,
KO,PRSB,,HNE,strong_motion,41.1044,37.7753,100.0,2012-03-22T00:00:00.000000Z,2018-04-12T00:00:00.000000Z
KO,PRSB,,HNN,strong_motion,41.1044,37.7753,100.0,2012-03-22T00:00:00.000000Z,2018-04-12T00:00:00.000000Z
KO,PRSB,,HNZ,strong_motion,41.1044,37.7753,100.0,2012-03-22T00:00:00.000000Z,2018-04-12T00:00:00.000000Z
KO,ELL,,BHE,broadband,36.7483,29.9085,50.0,2006-09-22T00:00:00.000000Z,2022-11-28T08:50:00.000000Z
KO,ELL,,BHN,broadband,36.7483,29.9085,50.0,2006-09-22T00:00:00.000000Z,2022-11-28T08:50:00.000000Z
KO,ELL,,BHZ,broadband,36.7483,29.9085,50.0,2006-09-22T00:00:00.000000Z,2022-11-28T08:50:00.000000Z
KO,ELL,,HHE,broadband,36.7483,29.9085,100.0,2022-11-28T08:50:00.000000Z,
KO,ELL,,HHN,broadband,36.7483,29.9085,100.0,2022-11-28T08:50:00.000000Z,
KO,ELL,,HHZ,broadband,36.7483,29.9085,100.0,2022-11-28T08:50:00.000000Z,
KO,KRTD,,HNE,strong_motion,36.5934,35.4157,100.0,2011-07-28T00:00:00.000000Z,2016-09-27T00:00:00.000000Z
KO,KRTD,,HNN,strong_motion,36.5934,35.4157,100.0,2011-07-28T00:00:00.000000Z,2016-09-27T00:00:00.000000Z
KO,KRTD,,HNZ,strong_motion,36.5934,35.4157,100.0,2011-07-28T00:00:00.000000Z,2016-09-27T00:00:00.000000Z
KO,BALB,,BHE,broadband,39.6507,27.8642,50.0,2002-07-11T00:00:00.000000Z,2003-04-26T10:00:00.000000Z
KO,BALB,,BHN,broadband,39.6507,27.8642,50.0,2002-07-11T00:00:00.000000Z,2003-04-26T10:00:00.000000Z
KO,BALB,,BHZ,broadband,39.6507,27.8642,50.0,2002-07-11T00:00:00.000000Z,2003-04-26T10:00:00.000000Z
KO,BALB,,HHE,broadband,39.6507,27.8642,100.0,2003-04-26T10:00:00.000000Z,2003-10-16T20:00:00.000000Z
