network,station,latitude,longitude,elevation,start_date,channel_codes,instrument_types,has_strong_motion,vs30_ms,nehrp_site_class
KO,MAZI,37.4593,40.4465,1204.0,2009-06-29T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,542.0,C
KO,TOKT,40.3173,36.5443,726.0,2000-07-06T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,632.0,C
KO,GULF,40.914,35.879,1050.0,2013-12-05T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,597.0,C
KO,BASM,37.9194,30.035,897.0,2013-11-21T00:00:00.000000Z,"EHE,EHN,EHZ,HNE,HNN,HNZ","broadband,strong_motion",True,395.0,C
KO,KVT,41.0807,36.0463,649.0,2001-03-16T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,499.0,C
KO,SINP,41.9824,35.0956,100.0,2012-03-01T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,276.0,D
KO,PRSB,41.1044,37.7753,100.0,2012-03-22T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,581.0,C
KO,ELL,36.7483,29.9085,1230.0,2001-11-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,900.0,B
KO,KRTD,36.5934,35.4157,47.0,2011-07-28T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,363.0,C
KO,BALB,39.6507,27.8642,266.0,2001-10-11T00:00:00.000000Z,"BHE,BHN,BHZ,EHE,EHN,EHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,463.0,C
KO,KOZT,37.4795,35.8264,381.0,2005-08-25T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,567.0,C
KO,BODT,37.0622,27.3103,379.0,2005-02-14T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,464.0,C
KO,KCTX,40.2626,28.3353,445.0,1998-10-20T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,492.0,C
KO,URFA,37.4409,38.8213,938.0,2004-12-02T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,364.0,C
KO,BCA,41.445,41.6223,500.0,2004-05-03T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,642.0,C
KO,DYBB,37.9532,40.1393,657.0,2009-12-10T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,371.0,C
KO,LMOS,36.6021,32.6962,1430.0,2022-10-04T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,785.0,B
KO,DOGC,41.3949,26.9852,81.0,2022-07-01T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,305.0,D
KO,YESY,37.7825,33.7431,1206.0,2009-06-19T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,760.0,C
KO,KAVV,41.0638,29.06,138.0,2009-10-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,583.0,C
KO,SAUV,40.7401,30.3271,170.0,2012-02-07T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,605.0,C
KO,TKR,40.9893,27.5351,140.0,2004-06-11T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,449.0,C
KO,KUPE,40.8766,36.0489,1050.0,2013-12-06T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,688.0,C
KO,KOUK,40.6572,29.1918,1.0,2021-06-20T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,600.0,C
KO,DENT,37.7539,29.0331,621.0,2002-06-20T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,900.0,B
KO,SVSK,39.9157,36.9925,1630.0,2003-08-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,565.0,C
KO,ILIC,39.4518,38.5675,1295.0,2008-12-25T00:00:00.000000Z,"BHE,BHN,BHZ",broadband,False,787.0,B
KO,GURO,38.5509,42.0322,1388.0,2011-10-25T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,559.0,C
KO,KMRS,37.5087,36.9,590.0,2006-08-30T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,314.0,D
KO,RSDY,40.3971,37.3273,550.0,2007-06-13T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,528.0,C
KO,KRBG,40.3932,27.2977,79.0,2008-06-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,433.0,C
KO,DST,39.6041,28.6267,693.0,2000-07-06T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,480.0,C
KO,DAT,36.7308,27.5767,1100.0,2005-10-08T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,789.0,B
KO,YARM,40.9231,35.8266,1050.0,2013-12-06T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,471.0,C
KO,GELI,40.398,26.4742,126.0,2008-07-04T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,561.0,C
KO,AKDM,38.3285,42.98,1662.0,2012-11-29T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,353.0,D
KO,SVRC,38.3775,39.306,1680.0,2007-04-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,688.0,C
KO,GOKC,40.1998,25.9183,123.0,2011-03-27T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,630.0,C
KO,OSMT,40.6009,29.7,798.0,2012-04-10T00:00:00.000000Z,"BNE,BNN,BNZ,HNE,HNN,HNZ",strong_motion,True,876.0,B
KO,DARE,38.5712,37.4832,1080.0,2007-07-31T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,510.0,C
KO,CLDR,39.144,43.9172,2094.0,2004-12-16T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,296.0,D
KO,SIMA,39.0833,28.9825,984.0,2011-07-26T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,578.0,C
KO,KIZT,38.8808,31.883,1222.0,2002-10-04T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,577.0,C
KO,SAFT,41.2398,32.6871,406.0,2000-12-14T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,461.0,C
KO,MDUB,40.4712,31.1976,1109.0,2008-05-22T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,601.0,C
KO,SVRH,39.447,31.523,1000.0,2007-12-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,507.0,C
KO,SNOP,42.0195,35.2069,180.0,2010-08-13T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,561.0,C
KO,KEMT,36.6037,30.5558,0.0,2011-08-09T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,454.0,C
KO,SHUT,38.553,30.551,1215.0,2006-11-02T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,379.0,C
KO,DEMR,36.2365,29.9056,168.0,2011-08-12T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,861.0,B
KO,BCK,37.4602,30.5885,858.0,2003-03-05T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,567.0,C
KO,DALY,36.8162,28.6532,100.0,2009-05-01T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,458.0,C
KO,SERE,38.9463,33.564,1216.0,2009-06-17T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,539.0,C
KO,YOZ,39.6376,35.3152,1422.0,2002-10-11T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,588.0,C
KO,SARI,38.4072,36.4181,1673.0,2007-08-03T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,740.0,C
KO,KDZE,41.3132,31.443,410.0,2006-06-29T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,773.0,B
KO,BZK,41.96,34.0035,158.0,2003-04-24T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,871.0,B
KO,RKY,40.6874,27.1776,687.0,2005-05-25T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,579.0,C
KO,BOZY,36.1069,32.9763,9.0,2011-07-29T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,276.0,D
