file,event_id,station,network,location,channel_used,instrument_type_used,pga_g,pgv_cms,snr_db,p_pick_time,s_pick_time,p_pick_confidence,s_pick_confidence,sampling_rate_hz,duration_sec,num_gaps,gap_fraction,is_clipped,has_three_components,response_removed_ok,usable_for_engineering,usable_for_phase_picking,qc_flags,sa_g_0_1s,sa_g_0_2s,sa_g_0_5s,sa_g_1_0s,sa_g_2_0s,arias_intensity_ms,cav_ms,duration_5_95_sec,fas_dominant_freq_hz,fas_mean_freq_hz
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20090718_0000047_CUKT.mseed,quakeml:eu.emsc/event/20090718_0000047,CUKT,KO,,BHE,broadband,0.0,0.0001,,,,,,20.0,210.0,0,0.0,False,True,True,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,175.6,8.807,5.681
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20090718_0000047_MAZI.mseed,quakeml:eu.emsc/event/20090718_0000047,MAZI,KO,,BHE,broadband,0.0,0.0,,,,,,50.0,210.0,0,0.0,False,True,True,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,185.42,5.847,9.004
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20090718_0000047_SIRT.mseed,quakeml:eu.emsc/event/20090718_0000047,SIRT,KO,,BHE,broadband,0.0,0.0002,,,,,,50.0,210.0,0,0.0,False,True,True,False,False,,1e-05,0.0,0.0,0.0,0.0,0.0,0.0012,184.66,12.685,12.472
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20110302_0000058_AGRB.mseed,quakeml:eu.emsc/event/20110302_0000058,AGRB,KO,,BHE,broadband,0.0,0.0001,,,,,,50.0,210.0,0,0.0,False,True,True,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,178.0,20.065,14.412
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20110302_0000058_KARS.mseed,quakeml:eu.emsc/event/20110302_0000058,KARS,KO,,BHE,broadband,0.0,0.0001,,,,,,50.0,210.0,0,0.0,False,True,True,False,False,,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0005,179.96,11.056,10.584
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20110430_0000003_CUKT.mseed,quakeml:eu.emsc/event/20110430_0000003,CUKT,KO,,BHE,broadband,5e-05,0.0027,,,,,,50.0,210.0,0,0.0,False,True,True,False,False,,9e-05,0.00017,9e-05,4e-05,0.0,0.0,0.0048,37.7,1.662,5.889
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20110430_0000003_SIRT.mseed,quakeml:eu.emsc/event/20110430_0000003,SIRT,KO,,BHE,broadband,3e-05,0.0026,,,,,,50.0,210.0,0,0.0,True,True,True,False,False,clipping_şüphesi,7e-05,0.0001,0.0001,4e-05,1e-05,0.0,0.0039,42.16,1.724,5.278
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20110430_0000003_SVAN.mseed,quakeml:eu.emsc/event/20110430_0000003,SVAN,KO,,BHE,broadband,1e-05,0.0003,,,,,,50.0,210.0,0,0.0,False,True,True,False,False,,4e-05,0.0,0.0,0.0,0.0,0.0,0.0037,184.82,9.075,11.005
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20140524_0000027_ERIK.mseed,quakeml:eu.emsc/event/20140524_0000027,ERIK,KO,,HHE,broadband,0.00176,0.1206,2.13,2014-05-24T09:31:20.240000Z,2014-05-24T09:31:55.350000Z,0.063,0.097,100.0,210.0,0,0.0,False,True,True,False,True,,0.00393,0.00497,0.00191,0.0003,0.00012,4.5e-05,0.1211,180.77,4.028,10.831
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20140524_0000027_GADA.mseed,quakeml:eu.emsc/event/20140524_0000027,GADA,KO,,HHE,broadband,0.00111,0.0848,4.01,2014-05-24T09:31:36.580000Z,2014-05-24T09:32:01.560000Z,0.132,0.134,100.0,210.0,0,0.0,False,True,True,False,True,,0.00422,0.00191,0.00033,0.00013,9e-05,1.5e-05,0.0783,183.28,0.186,10.844
